COLOR	NAME	DESCRIPTION	MINIMUM	MAXIMUM
7001513	ABW	CL1	0.1	2.1
7294667	AFG	CL2	1.1	3.1
8447369	AGO	CL3	2.1	4.1
8731283	AIA	CL4	3.1	5.1
5033438	ALA	CL5	4.1	6.1
10540341	ALB	CL6	5.1	7.1
5383699	AND	CL7	6.1	8.1
13903189	ARE	CL8	7.1	9.1
4068717	ARG	CL9	8.1	10.1
9937903	ARM	CL10	9.1	11.1
353596	ASM	CL11	10.1	12.1
13837346	ATA	CL12	11.1	13.1
4098485	ATF	CL13	12.1	14.1
12470597	ATG	CL14	13.1	15.1
4879464	AUS	CL15	14.1	16.1
5972819	AUT	CL16	15.1	17.1
7577127	AZE	CL17	16.1	18.1
16324093	BDI	CL18	17.1	19.1
3813647	BEL	CL19	18.1	20.1
5822144	BEN	CL20	19.1	21.1
14883926	BES	CL21	20.1	22.1
3903921	BFA	CL22	21.1	23.1
13044106	BGD	CL23	22.1	24.1
4312197	BGR	CL24	23.1	25.1
8703827	BHR	CL25	24.1	26.1
6838603	BHS	CL26	25.1	27.1
10242966	BIH	CL27	26.1	28.1
8289683	BLM	CL28	27.1	29.1
14581048	BLR	CL29	28.1	30.1
8836497	BLZ	CL30	29.1	31.1
13945771	BMU	CL31	30.1	32.1
2978863	BOL	CL32	31.1	33.1
190057	BRA	CL33	32.1	34.1
14761239	BRB	CL34	33.1	35.1
9767939	BRN	CL35	34.1	36.1
453860	BTN	CL36	35.1	37.1
16338556	BVT	CL37	36.1	38.1
3308385	BWA	CL38	37.1	39.1
15754333	CA-	CL39	38.1	40.1
13496604	CAF	CL40	39.1	41.1
8403011	CAN	CL41	40.1	42.1
6372519	CCK	CL42	41.1	43.1
1400684	CHE	CL43	42.1	44.1
1402833	CHL	CL44	43.1	45.1
2546151	CHN	CL45	44.1	46.1
775923	CIV	CL46	45.1	47.1
3721451	CL-	CL47	46.1	48.1
12319902	CMR	CL48	47.1	49.1
10878115	COD	CL49	48.1	50.1
4605712	COG	CL50	49.1	51.1
4431428	COK	CL51	50.1	52.1
15304086	COL	CL52	51.1	53.1
10205172	COM	CL53	52.1	54.1
14022917	CPV	CL54	53.1	55.1
11035870	CRI	CL55	54.1	56.1
16687655	CUB	CL56	55.1	57.1
5950429	CUW	CL57	56.1	58.1
6134674	CXR	CL58	57.1	59.1
6163168	CYM	CL59	58.1	60.1
2965368	CYP	CL60	59.1	61.1
1510928	CZE	CL61	60.1	62.1
10788973	DEU	CL62	61.1	63.1
9036951	DJI	CL63	62.1	64.1
3136128	DMA	CL64	63.1	65.1
1681050	DNK	CL65	64.1	66.1
9488290	DOM	CL66	65.1	67.1
11265840	DZA	CL67	66.1	68.1
15076687	ECU	CL68	67.1	69.1
3832554	EGY	CL69	68.1	70.1
14303989	ERI	CL70	69.1	71.1
16098323	ESH	CL71	70.1	72.1
3818412	ESP	CL72	71.1	73.1
5878210	EST	CL73	72.1	74.1
3196811	ETH	CL74	73.1	75.1
9582978	FIN	CL75	74.1	76.1
1193137	FJI	CL76	75.1	77.1
625908	FLK	CL77	76.1	78.1
12599752	FRA	CL78	77.1	79.1
8304067	FRO	CL79	78.1	80.1
12841820	FSM	CL80	79.1	81.1
2392962	GAB	CL81	80.1	82.1
14436268	GBR	CL82	81.1	83.1
13573502	GEO	CL83	82.1	84.1
13315523	GGY	CL84	83.1	85.1
9170673	GHA	CL85	84.1	86.1
12531336	GIB	CL86	85.1	87.1
15961749	GIN	CL87	86.1	88.1
2716427	GLP	CL88	87.1	89.1
12459122	GMB	CL89	88.1	90.1
1243748	GNB	CL90	89.1	91.1
13680939	GNQ	CL91	90.1	92.1
2893464	GRC	CL92	91.1	93.1
8923313	GRD	CL93	92.1	94.1
4350972	GRL	CL94	93.1	95.1
5067017	GTM	CL95	94.1	96.1
2545083	GUF	CL96	95.1	97.1
8024543	GUM	CL97	96.1	98.1
5448845	GUY	CL98	97.1	99.1
2623779	HKG	CL99	98.1	100.1
11776329	HMD	CL100	99.1	101.1
6946277	HND	CL101	100.1	102.1
2638443	HRV	CL102	101.1	103.1
11385460	HTI	CL103	102.1	104.1
1501780	HUN	CL104	103.1	105.1
10987823	IDN	CL105	104.1	106.1
16068259	IMN	CL106	105.1	107.1
2473441	IND	CL107	106.1	108.1
6260372	IOT	CL108	107.1	109.1
3569690	IRL	CL109	108.1	110.1
15020169	IRN	CL110	109.1	111.1
9218659	IRQ	CL111	110.1	112.1
14064018	ISL	CL112	111.1	113.1
10347881	ISR	CL113	112.1	114.1
9138054	ITA	CL114	113.1	115.1
8875824	JAM	CL115	114.1	116.1
6318130	JEY	CL116	115.1	117.1
11764682	JOR	CL117	116.1	118.1
4014346	JPN	CL118	117.1	119.1
16535572	KAZ	CL119	118.1	120.1
5134257	KEN	CL120	119.1	121.1
15712218	KGZ	CL121	120.1	122.1
15533278	KHM	CL122	121.1	123.1
6287033	KIR	CL123	122.1	124.1
6828986	KNA	CL124	123.1	125.1
10827163	KO-	CL125	124.1	126.1
10104024	KOR	CL126	125.1	127.1
1372951	KWT	CL127	126.1	128.1
9026970	LAO	CL128	127.1	129.1
12210659	LBN	CL129	128.1	130.1
15388445	LBR	CL130	129.1	131.1
16279732	LBY	CL131	130.1	132.1
10615857	LCA	CL132	131.1	133.1
2928047	LIE	CL133	132.1	134.1
1006054	LKA	CL134	133.1	135.1
7299853	LSO	CL135	134.1	136.1
8536772	LTU	CL136	135.1	137.1
1044694	LUX	CL137	136.1	138.1
9150240	LVA	CL138	137.1	139.1
16391604	MAC	CL139	138.1	140.1
4153137	MAF	CL140	139.1	141.1
4299292	MAR	CL141	140.1	142.1
15341473	MCO	CL142	141.1	143.1
14417032	MDA	CL143	142.1	144.1
8522672	MDG	CL144	143.1	145.1
9010951	MDV	CL145	144.1	146.1
418167	MEX	CL146	145.1	147.1
10338968	MHL	CL147	146.1	148.1
11525558	MKD	CL148	147.1	149.1
5987464	MLI	CL149	148.1	150.1
16113154	MLT	CL150	149.1	151.1
2054410	MMR	CL151	150.1	152.1
2419203	MNE	CL152	151.1	153.1
16276198	MNG	CL153	152.1	154.1
4164165	MNP	CL154	153.1	155.1
16480156	MOZ	CL155	154.1	156.1
7629706	MRT	CL156	155.1	157.1
2672345	MSR	CL157	156.1	158.1
5426755	MTQ	CL158	157.1	159.1
14390818	MUS	CL159	158.1	160.1
16347453	MWI	CL160	159.1	161.1
3339096	MYS	CL161	160.1	162.1
37567	MYT	CL162	161.1	163.1
9528452	NAM	CL163	162.1	164.1
9312079	NCL	CL164	163.1	165.1
7177236	NER	CL165	164.1	166.1
15609908	NFK	CL166	165.1	167.1
10044333	NGA	CL167	166.1	168.1
13183515	NIC	CL168	167.1	169.1
16515598	NIU	CL169	168.1	170.1
11965018	NLD	CL170	169.1	171.1
13496813	NOR	CL171	170.1	172.1
9816617	NPL	CL172	171.1	173.1
662346	NRU	CL173	172.1	174.1
10955816	NZL	CL174	173.1	175.1
15461428	OMN	CL175	174.1	176.1
7989899	PAK	CL176	175.1	177.1
2511121	PAN	CL177	176.1	178.1
15206273	PCN	CL178	177.1	179.1
13216187	PER	CL179	178.1	180.1
7026698	PHL	CL180	179.1	181.1
1280696	PLW	CL181	180.1	182.1
16554383	PNG	CL182	181.1	183.1
12206956	POL	CL183	182.1	184.1
9065038	PRI	CL184	183.1	185.1
11090543	PRK	CL185	184.1	186.1
4041219	PRT	CL186	185.1	187.1
2402475	PRY	CL187	186.1	188.1
9100700	PSE	CL188	187.1	189.1
1153275	PYF	CL189	188.1	190.1
7661349	QAT	CL190	189.1	191.1
11004882	REU	CL191	190.1	192.1
4151598	ROU	CL192	191.1	193.1
373240	RUS	CL193	192.1	194.1
2324236	RWA	CL194	193.1	195.1
15844605	SAU	CL195	194.1	196.1
16658384	SDN	CL196	195.1	197.1
6399846	SEN	CL197	196.1	198.1
9123011	SGP	CL198	197.1	199.1
9627504	SGS	CL199	198.1	200.1
6229465	SHN	CL200	199.1	201.1
10943791	SJM	CL201	200.1	202.1
2083025	SLB	CL202	201.1	203.1
14302793	SLE	CL203	202.1	204.1
16046341	SLV	CL204	203.1	205.1
11945336	SMR	CL205	204.1	206.1
5993433	SMX	CL206	205.1	207.1
4628405	SOM	CL207	206.1	208.1
9987424	SP-	CL208	207.1	209.1
7997767	SPM	CL209	208.1	210.1
12227279	SRB	CL210	209.1	211.1
5120102	SSD	CL211	210.1	212.1
