COLOR	NAME	DESCRIPTION	MINIMUM	MAXIMUM
12512255	Albeluvisol	CL1	1	2
6530301	Acrisol	CL2	2	3
13434879	Alisol	CL3	3	4
6122492	Andosol	CL4	4	5
12642302	Arenosol	CL5	5	6
9069413	Anthrosol	CL6	6	7
6146021	Chernozem	CL7	7	8
5369855	Calcisol	CL8	8	9
7393021	Cambisol	CL9	9	10
15313168	Fluvisol	CL10	11	12
5081596	Ferralsol	CL11	12	13
12556971	Gleysol	CL12	14	15
11401727	Gypsisol	CL13	16	17
8028287	Histosol	CL14	17	18
9282002	Kastanozem	CL15	19	20
13224393	Leptosol	CL16	20	21
9480441	Luvisol	CL17	21	22
13289463	Lixisol	CL18	22	23
6847436	Nitisol	CL19	24	25
14412501	Phaeozem	CL20	25	26
6921462	Planosol	CL21	26	27
5331076	Plinthosol	CL22	27	28
8170094	Podzol	CL23	28	29
12051709	Regosol	CL24	29	30
10116064	Solonchak	CL25	31	32
15587576	Solonetz	CL26	32	33
16040819	Stagnosols	CL27	33	34
8941992	Vertisol	CL28	35	36
