CODE;VALUE
1;Acrisols
2;Alisols
3;Andosols
4;Arenosols
5;Anthrosols
6;Chernozems
7;Calcisols
8;Cambisols
9;Fluvisols
10;Ferralsols
11;Gleysols
12;Greyzems
13;Gypsisols
14;Histosols
15;Kastanozems
16;Leptosols
17;Luvisols
18;Lixisols
19;Nitisols
20;Podzoluvisols
21;Phaeozems
22;Planosols
23;Plinthosols
24;Podzols
25;Regosols
26;Solonchaks
27;Solonetz
28;Vertisols
29;Rock Outcrop
30;Sand Dunes
31;Water Bodies
32;Urban, mining, etc.
33;Salt Flats
34;No data
35;Glaciers
36;Island
