CODE;VALUE
1;Acrisol
2;Ferric Acrisol
3;Gleyic Acrisol
4;Humic Acrisol
5;Orthic Acrisol
6;Plinthic Acrisol
7;Cambisol
8;Calcaric Cambisol
9;Chromic Cambisol
10;Calcaro-chromic Cambisol
11;Humo-chromic Cambisol
12;Calci-chromic Cambisol
13;Rhodo-chromic Cambisol
14;Dystric Cambisols
15;Ando-dystric Cambisol
16;Gleyo-eutric Cambisol
17;Spodo-dystric Cambisol
18;Eutric Cambisol
19;Ando-eutric Cambisol
20;Calcaro-eutric Cambisol
21;Fluvi-eutric Cambisol
22;Gleyo-eutric Cambisol
23;Verti-eutric Cambisol
24;Ferralic Cambisol
25;Gleyic Cambisol
26;Calcaro-gleyic Cambisol
27;Eutri-gleyic Cambisol
28;Stagno-gleyic Cambisol
29;Spodo-gleyic Cambisol
30;Verti-gleyic Cambisol
31;Humic Cambisol
32;Calcic Cambisol
33;Fluvi-calcic Cambisol
34;Humo-calcic Cambisol
35;Calci-vertic Cambisol
36;Mollic Cambisol
37;Vertic Cambisol
38;Calcaro-vertic Cambisol
39;Calci-vertic Cambisol
40;Gelic Cambisol
41;Chernozem
42;Stagno-gleyic Chernozem
43;Haplic Chernozem
44;Verti-haplic Chernozem
45;Calcic Chernozem
46;Vermi-calcic Chernozem
47;Calcaro-calcic Chernozem
48;Vermi-calcaro-calcic Chernozem
49;Luvic Chernozem
50;Podzolluvisol
51;Dystric Podzoluvisol
52;Eutric Podzoluvisol
53;Gleyic Podzoluvisol
54;Dystri-gleyic Podzoluvisol
55;Eutri-gleyic Podzoluvisol
56;Stagno-gleyic Podzoluvisol
57;Rendzina
58;Cambic Rendzina
59;Histic Rendzina
60;Orthic Rendzina
61;Umbric Rendzina
62;Gleysol
63;Calcaric Gleysol
64;Fluvi-calcaric Gleysol
65;Stagno-calcaric Gleysol
66;Dystric Gleysol
67;Stagno-dystric Gleysol
68;Eutric Gleysol
69;Fluvi-eutric Gleysol
70;Humi-eutric Gleysol
71;Stagno-eutric Gleysol
72;Verti-eutric Gleysol
73;Fluvic Gleysol
74;Molli-fluvic Gleysol
75;Humic Gleysol
76;Fluvi-humic Gleysol
77;Histo-humic Gleysol
78;Histo-humo-calcaric Gleysol
79;Thioni-humic Gleysol
80;Histic Gleysol
81;Humo-histic Gleysol
82;Luvic Gleysol
83;Stagno-luvic Gleysol
84;Mollic Gleysols
85;Calcaro-mollic Gleysol
86;Fluvi-mollic Gleysol
87;Stagno-mollic Gleysol
88;Stagnic Gleysol
89;Thionic Gleysols
90;Gelic Gleysol
91;Phaeozem
92;Calcaric Phaeozem
93;Vermi-calcaric Phaeozem
94;Fluvi-calcaric Phaeozem
95;Gleyo-calcaric Phaeozem
96;Alkalino-Calcaric Phaeozem
97;Gleyic Phaeozems
98;Calcaro-gleyic Phaeozem
99;Stagno-gleyic Phaeozem
100;Verti-gleyic Phaeozem
101;Haplic Phaeozem
102;Verti-haplic Phaeozem
103;Luvic Phaeozems
104;Verti-luvic Phaeozem
105;Haplic Phaeozem
106;Lithosol
107;Calcaric Lithosol
108;Humo-calcaric Lithosol
109;Dystric Lithosol
110;Eutric Lithosol
111;Fluvisol
112;Calcaric Fluvisol
113;Fluvi-calcaric Fluvisol
114;Gleyo-calcaric Fluvisol
115;Dystric Fluvisol
116;Gleyo-dystric Fluvisol
117;Eutric Fluvisols
118;Fluvi-eutric Fluvisol
119;Gleyo-eutric Fluvisol
120;Mollic Fluvisols
121;Gleyo-mollic Fluvisol
122;Verti-mollic Fluvisol
123;Thionic Fluvisol
124;Haplic Kastanozem
125;Calcic Kastanozem
126;Vermi-calcic Kastanozem
